TC,Description (1),environment,username,password,sender_first_name,sender_middle_name,sender_last_name,sender_country_origin,sender_address_line_one,sender_address_line_two,sender_city,sender_zip_code,sender_province,sender_country,sender_phone_number,sender_nationality,sender_national_identity_number,sender_dob,sender_place_of_birth,sender_email,source_of_funds,beneficiary_first_name,beneficiary_middle_name,beneficiary_last_name,beneficiary_sex,beneficiary_nationality,beneficiary_account_name,beneficiary_account_number,beneficiary_address_line_one,beneficiary_address_line_two,beneficiary_barangay,beneficiary_city,beneficiary_province,beneficiary_zip_code,beneficiary_government_issued_id,beneficiary_phone_number,purpose,relationship_of_sender_to_beneficiary,currency,amount,fee_type,method,beneficiary_bank_code,instructions,channel_down,ubp_partner_cashout,paymaya_wallet,instapay_emi_p2p_cashout,InstaPay,pesonet,status_code,expected_error
1,Successful Request : Status Code Check 200,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-REAL-TIME,BAUBPPH,Pay fee for partly work,null,supported,unsupported,supported,supported,supported,200,no error
2,Verify Fiat Out Response,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-REAL-TIME,BAUBPPH,Pay fee for partly work,null,supported,unsupported,supported,supported,supported,200,no error
3,Verify Debiting [Fee_type=Sender],Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,999200002168,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Sender,PAY-TO-ACCOUNT-REAL-TIME,BAPTCPH,Pay fee for partly work,null,supported,unsupported,supported,supported,supported,200,no error
4,Verify Debiting [Fee_type=Bene],Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,999200002168,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-REAL-TIME,BAPTCPH,Pay fee for partly work,null,supported,unsupported,supported,supported,supported,200,no error
5,Logic Seq: UBP : Real Time : Amount < 50K,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-REAL-TIME,BAUBPPH,Pay fee for partly work,null,supported,unsupported,supported,supported,supported,200,no error
6,Logic Seq: UBP : Real Time : Amount < 50k  : UBP Direct Down,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-REAL-TIME,BAUBPPH,Pay fee for partly work,1184,supported,unsupported,supported,supported,supported,200,no error
7,Logic Seq: UBP : Real Time : Amount <50K :  UBP Direct and Instapay Direct are Down,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-REAL-TIME,BAUBPPH,Pay fee for partly work,1184_1187,supported,unsupported,supported,supported,supported,200,no error
8,Logic Seq: UBP : Real Time : Amount < 50K : All real time channels are down,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-REAL-TIME,BAUBPPH,Pay fee for partly work,1184_1187_1188,supported,unsupported,supported,supported,supported,400,
9,Logic Seq: UBP Bankcode : Non Real Time : Amount < 50K ,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-NON-REAL-TIME,BAUBPPH,Pay fee for partly work,null,supported,unsupported,supported,supported,supported,200,no error
10,Logic Seq: UBP Bankcode : Non Real Time : Amount < 50K : UBP Down,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-NON-REAL-TIME,BAUBPPH,Pay fee for partly work,1184,supported,unsupported,supported,supported,supported,200,no error
11,Logic Seq: UBP Bankcode : Non Real Time : Amount < 50K : UBP Direct and Instapay Direct are Down,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-NON-REAL-TIME,BAUBPPH,Pay fee for partly work,1184_1187,supported,unsupported,supported,supported,supported,200,no error
12,Logic Seq: UBP Bankcode :Non Real Time : Amount < 50K : All real time channels are down,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-NON-REAL-TIME,BAUBPPH,Pay fee for partly work,1184_1187_1188,supported,unsupported,supported,supported,supported,200,no error
